"placename","othername","designator","location","remarks","infosource"
"Lilly Mill","   -","Mill","Lilly","   -","HRHS Mill Books"
"Lily","Lilly","Community","   -","   -","HRHS Archives # 86 Whitmer"
"Lime Kiln","   -","Business","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"Lincoln Cemetery","   -","Church","On SR 42 about 2.5 mi N of Linville.","   -","HRHS Archives # 86 Whitmer"
"Lincoln Family Cemetery","   -","Cemetery","North of Edom, Rockingham County, Virginia.  From corner of Route 33 West (W. Market Street) and Route 42 in Harrisonburg, travel 8.3 miles north on Route 42 (Harpine Highway).  On the right side of the road in a field just north of the Lincoln home.","   -","HRHS Cemeteries Database 2013"
"Lincoln Hill","   -","Hill","Elevation 1286'. Rises on SE side of Smith Creek about .9 mi S of Tenth Legion.","   -","HRHS Archives # 86 Whitmer"
"Lincoln Home","   -","Structure","On SR 42 about 2.5 mi N of Linville.","   -","HRHS Archives # 86 Whitmer"
"Lincoln Mill","   -","Mill","Brocks Creek","   -","HRHS Mill Books"
"Lincoln Mill","   -","Mill","Linville Creek","   -","HRHS Mill Books"
"Lindale Church","   -","Church","At intersection of SR 42 & 780. About 1.2 mi NW of Linville","   -","HRHS Archives # 86 Whitmer"
"Lindale Mennonite Church","Refer to: Lindale Mennonite Church (Old)","Church","Linville","Mennonite","HRHS Churches Database 2013"
"Lindale Mennonite Church (Old)","(See also, Lindale Mennonite Church)","Church","Linville","Mennonite","HRHS Churches Database 2013"
"Lindale Mennonite Church Cemetery","   -","Cemetery","Edom, Rockingham County, Virginia.  From Harrisonburg, Virginia, take Route 42 North (Harpine Hwy) several miles. There is a sign on the right side of Route 42 for the cemetery and you turn right. Cemetery is behind the church.","   -","HRHS Cemeteries Database 2013"
"Lineville Creek","Linville Creek","Stream","   -","   -","HRHS Archives # 86 Whitmer"
"Linville","Linville Post Office","Community","At intersection of SR 721, 753 & 724. About 6.7 mi SSW of Broadway","   -","HRHS Archives # 86 Whitmer"
"Linville Cemetery","   -","Cemetery","Linville","P. 22","1885 Lakes Atlas Revised 2013"
"Linville Cemetery","   -","Cemetery","Linville, Rockingham County, Virginia.  From Harrisonburg take Route 42 north 3.7 miles and turn right on to Road 765 (Buttermilk Creek Road).   Go 1.6 miles and turn left on to Road 753 (Kratzer Road).  Go 1.0 miles and church/cemetery are on the ri","   -","HRHS Cemeteries Database 2013"
"Linville Cemetery (*)","   -","Cemetery","Linville, Rockingham County, Virginia.  From Harrisonburg take Route 42 north 3.7 miles and turn right on to Route 765 (Buttermilk Creek Road).   Go 1.6 miles and turn left on to Route 753 (Kratzer Road).  Go 1.0 miles and church/cemetery are on the","* Negro","HRHS Cemeteries Database 2013"
"Linville Christian Church","(See also, Linville Congregational Christian Church)","Church","Linville","Christian","HRHS Churches Database 2013"
"Linville Congregational Christian Church","Refer to Linville Christian Church","Church","Linville","Christian","HRHS Churches Database 2013"
"Linville Congregational Christian Church Cemetery","   -","Cemetery","Refer to the Linville Cemetery. The name has changed over the years."," # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013"
"Linville Creek","Lineville Creek","Stream","Rises about 1.1 mi W of Park View, near 38 27 52N, 78 54 00W, flows NNE about 13.6 mi into North Fork Shenandoah River near 38 37 10N, 78 47 38W, at Broadway","   -","HRHS Archives # 86 Whitmer"
"Linville Creek","   -","Stream","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013"
"Linville Creek","   -","Stream","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"Linville Creek Baptist Church","(See also, Brocks Gap Baptist Church)","Church","Linville Creek area (No longer exists)","Baptist Primitive","HRHS Churches Database 2013"
"Linville Creek Baptist Church","   -","Church","NE of SR 782 about .1 mi. About 3 mi N of Linville","   -","HRHS Archives # 86 Whitmer"
"Linville Creek Ch of Brethren Cem - Negro Section","   -","Cemetery","Broadway, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 42 north (Harpine Highway) to Broadway. Turn right onto Route 1421 (E. Springbrook Road). Go 5/10th mile and go right onto Brethren Road. Go 2/10th mile and cemetery is lo","* Negro","HRHS Cemeteries Database 2013"
"Linville Creek Church","Creek Church, Dunkard Ch","Church","At intersection of SR 803 & 786. About .7 mi SE of Broadway","   -","HRHS Archives # 86 Whitmer"
"Linville Creek Church of the Brethren","Refer to: Linville Creek Dunker Church","Church","Broadway","Church of the Brethren","HRHS Churches Database 2013"
"Linville Creek Church of the Brethren Cemetery","   -","Cemetery","Broadway, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 42 north (Harpine Highway) to Broadway. Turn right onto Route 1421 (E. Springbrook Road). Go 5/10th mile and go right onto Brethren Road. Go 2/10th mile and cemetery is lo","   -","HRHS Cemeteries Database 2013"
"Linville Creek Dunkard Church","(See also, Linville Creek Church of the Brethren)","Church","Broadway","Dunkard","HRHS Churches Database 2013"
"Linville Creek Magisterial District","Linville District","Area","   -","   -","HRHS Archives # 86 Whitmer"
"Linville Creek Methodist Church","   -","Church","Edom area (No longer exists)","Methodist","HRHS Churches Database 2013"
"Linville Creek Presbyterian Church","   -","Church","Linville Creek area, perhaps near Edom (No longer exists)","Presbyterian","HRHS Churches Database 2013"
"Linville Depot","Linville Station, Linville Post Office","Railroad","   -","   -","HRHS Archives # 86 Whitmer"
"Linville District","Linville Creek Magisterial District","Area","Linville Magisterial District is the North-Central one in Rockingham Co. Includes Genoa, Singers Glen, Linville & Zenda","   -","HRHS Archives # 86 Whitmer"
"Little Bear Creek","Dry River, Little Dry River, Sugar Run","Stream","Name applies to that part of Little Dry River from its joining with Sugar Run at least to its confluence with Carr Run. May include the stream which drains Little Bear Hollow & Big Bear Hollow","Pit G map","HRHS Archives # 86 Whitmer"
"Little Bear Creek","Dry River, Little Dry River, Sugar Run","Stream","Name applies to all of Sugar Run & that part of Little Dry River from its joining with Sugar Run down to its confluence with Bible Run & perhaps as far as Gate Run.","DOH maps","HRHS Archives # 86 Whitmer"
"Little Bear Creek","Dry River, Little Dry River, Sugar Run","Stream","Name applies to that part of Little Dry River from its source at least to its confluence with Carr Run","Lake G, pp. 6,24","HRHS Archives # 86 Whitmer"
"Little Bear Crk.","   -","Stream","West Linville Creek","P. 14","1885 Lakes Atlas Revised 2013"
"Little Bear Hollow","   -","Valley","Runs NE to SW. Extends about .7 mi. Mouth of hollow opens onto Big Bear Hollow near 38 39 18N, 79 04 21W. Hollow begins near 38 39 51N, 79 03 57W. Center about 2.5 mi SSE of Cow Knob","   -","HRHS Archives # 86 Whitmer"
"Little Deep Run","Deep Run","Stream","Rises about 1.8 mi SSW of Rockytop","Named 'Deep Run' on 7.5' map","HRHS Archives # 86 Whitmer"
"Little Dry River","Dry River, Sugar Run","Stream","Rises about 2 mi S of Cow Knob, near 38 39 54N, 79 04 51W, flows E about 11.2 mi into North Fork Shenandoah River near 38 39 42N, 78 55 23W, about 1 mi W of Fulks Run","   -","HRHS Archives # 86 Whitmer"
"Little Gap","   -","Gap","A water gap through First Mountain on Massanutten Mountain. About 3.5 mi NE of Lairds Knob. Elevation about 2100'.","   -","HRHS Archives # 86 Whitmer"
"Little Hogpen Run","   -","Stream","Rises about 3.4 mi ESE of Bald Knob, near 38 34 19N, 79 00 15W. Flows ENE about 1.8 mi into Hogpen Run near 38 34 59N, 78 58 36W, about 4 mi NW of Singers Glen","   -","HRHS Archives # 86 Whitmer"
"Little Laurel Run","   -","Stream","Rises about 2.8 mi S of Cow Knob, near 38 39 03N, 79 06 04W, flows S about 4 mi into Dry River near 38 36 36N, 79 05 58W, about 2.6 mi NW of Bald Knob","   -","HRHS Archives # 86 Whitmer"
"Little Mountain","Hughs Mountain, Huges Mountain","Mountain","Elevation about 2320'. Extends SSW-NNE about 2.8 mi. Center about 2 mi E of Wetzel Knob","   -","HRHS Archives # 86 Whitmer"
"Little N. Mtn","   -","Mountain","West Plains","P. 27","1885 Lakes Atlas Revised 2013"
"Little No. Mtn","   -","Mountain","West Linville Creek","P. 15","1885 Lakes Atlas Revised 2013"
"Little North Mountain","North Mountain","Mountain","Elevation about 2740'. Extends SW-NE about 20 mi. Highes point near 38 34 13N, 78 56 38. The North Fork Shenandoah River passes through Little North Mntn at Brocks Gap.","   -","HRHS Archives # 86 Whitmer"
"Locks","   -","Structure","Elevation about 3680'. On Shenandoah Mntn at border between VA and Wva. About 5.4 mi E of Brandywine Wva.","Horizontal & Vvertical control station symbol. 'Locks' printed beside mark.","HRHS Archives # 86 Whitmer"
"Locust Ridge","   -","Mountain","Elevation about 2600'. Extends ENE about .8 mi from SE side of Shenandoah Mntn. Center near 38 43 57N, 79 04 09W. About 3.1 mi NNE of Cow Knob","   -","HRHS Archives # 86 Whitmer"
"Loft Mountain Campgrounds","   -","Camp","On Big Flat Mountain in Shenandoah Natl Park. About 2.2 mi ENE of Browns Gap","   -","HRHS Archives # 86 Whitmer"
"Lone Pine Dunkard Church","(See also, Dayton Dunkard Brethren Church)","Church","Stemphleytown, west of Dayton","Dunkard","HRHS Churches Database 2013"
"Long & Co. Isaac","   -","Business","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Long Blade Run","   -","Stream","East Plains","P. 25","1885 Lakes Atlas Revised 2013"
"Long Chapel","   -","Church","On SR 811. About 2 mi S of Lacey Spring community.","   -","HRHS Archives # 86 Whitmer"
"Long Chapel","   -","Church","East Linville Creek","P. 19","1885 Lakes Atlas Revised 2013"
"Long Glade Creek","Glade Creek","Stream","Rises about 3.8 mi SE of Parnassus in Augusta Co. near 38 15 55N, 79 03 30W. Flows NNE about 11.2 mi into North River near 38 22 06N, 78 58 16W, about 1.8 mi NW of Mt. Crawford","Long Glade Creek drains Glade Valley.","HRHS Archives # 86 Whitmer"
"Long Glade Marble Works","   -","Business","On SR 42 about 3.2 mi WNW of Mt. Crawford.","   -","HRHS Archives # 86 Whitmer"
"Long Glade Run","Long Meadow","Stream","   -","   -","HRHS Archives # 86 Whitmer"
"Long Meadow","Long Glade Run","Stream","Begins as intermittent strm about 1.4 mi NW of Lacey Spring near 38 33 20N, 78 47 00W. Flows about 5.2 mi NE into North Fork Shenandoah River about 1.3 mi E of Timberville, near 38 38 08N, 78 44 59W.","Is this stream or Valley? Simmers Hollow near Lacey Spring is drained by intermittent strm which becomes Long Meadow. During the first 4.5 mi of this feature it might be called a Valy.","HRHS Archives # 86 Whitmer"
"Long Meadow Road","   -","Road","A road extending generally NNE-SSW along Long Meadow. Begins at intersection of SR 798 & 830, about 2.9 mi ESE of Broadway & ends at intersection of SR 259 & 830 about 3 mi SE of Broadway. Is now part of present day SR 830. Extends about 1.2 mi","   -","HRHS Archives # 86 Whitmer"
"Long Run","   -","Stream","Rises about 2 mi ESE of Bald Knob, near 38 34 39N, 79 01 41W, flows E about 5.6 mi into Sheomaker River near 38 34 13N, 78 57 54W, about 3 mi WNW of Singers Glen","   -","HRHS Archives # 86 Whitmer"
"Long Run Road","   -","Road","A road in George Washington Natl Forest, extending NNW-SSE about 15.5 mi from SR 612 near Gospel Hill Church to near Sand Spring. Center near White Oak Flat, 38 34 38N, 79 01 49W","   -","HRHS Archives # 86 Whitmer"
"Long?s Chapel (Colored)","Athens Church","Church","Zenda","United Brethren","HRHS Churches Database 2013"
"Long?s School House","   -","Church","South of Meyerhoeffers Store (Cross Keys) (No longer exists)","Methodist / United Brethren","HRHS Churches Database 2013"
"Longs Hill","   -","Hill","Elevation 1382'. About 2 mi N of Port Repubic","   -","HRHS Archives # 86 Whitmer"
"Long's Hill","   -","Hill","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Longs Pump","   -","Spring","At intersection of US RT 11 and SR 721. About 1.9 mi SW of Lacey Spring community.","   -","HRHS Archives # 86 Whitmer"
"Louck's Lot","   -","Other","Linville","P. 22","1885 Lakes Atlas Revised 2013"
"Louis E. Swank Place Cemetery","   -","Cemetery","Singers Glen area, Rockingham County, Virginia.  Was located on Route 613 north of Singers Glen, north of barn, on Louis E. Swank's Place.","   -","HRHS Cemeteries Database 2013"
"Lovers Leap","   -","Rocks","About .4 mi S of Rawley Springs","   -","HRHS Archives # 86 Whitmer"
"Low Place Run","   -","Stream","Rises about 6.5 mi ENE of Brandywine, Wva. Near 38 39 06N, 79 07 50W. Flows S about 3 mi into Dry river near 38 36 34N, 79 07 40W & about 3.5 mi NE of High Knob","   -","HRHS Archives # 86 Whitmer"
"Lower Lewis Run","Hangmans Run","Stream","Rises about .3 mi S of Rockytop, near 38 17 04N, 78 42 46W, flows NW about 4 mi into South Fork Shenandoah River near 38 19 10N, 78 45 32W, about 3.3 mi NE of Port Republic","Hangmans Run on VDOT 1939-32 maps. Probably mislabled","HRHS Archives # 86 Whitmer"
"Lower Mill","Custers Mill","Mill","Hinton","   -","HRHS Mill Books"
"Luck Hollow","   -","Valley","Runs S to N extends about 1.2 mi, mouth of hollow opens onto White Oak Run, near 38 14 36N, 78 44 38W. Hollow begins near 38 13 36N, 78 44 50W. Center about 1.8 mi W of Browns Gap","   -","HRHS Archives # 86 Whitmer"
"Lurty & Newman","   -","Business","West Central","P. 15","1885 Lakes Atlas Revised 2013"
"Luther Crider Place Cemetery","   -","Cemetery","Crider area, Rockingham County, Virginia. Located south of Criders Route 825 on Cold Spring River.","   -","HRHS Cemeteries Database 2013"
"Lutheran Church","   -","Church","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 11","1885 Lakes Atlas Revised 2013"
"Lutheren Church at Millers","   -","Church","Unknown (Miller?s Round Hill?)","Lutheran","HRHS Churches Database 2013"
"Madisons Run","Madisons Run","Stream","   -","   -","HRHS Archives # 86 Whitmer"
"Madison's Run","   -","Stream","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Magill-McGill-Gibbons Plantation Cemetery","   -","Cemetery","Bridgewater area, Rockingham County, Virginia.  In 1967 located on the Stoutamyer sisters home south of Bridgewater on Route 42.","   -","HRHS Cemeteries Database 2013"
"Maiden Cemetery","   -","Cemetery","From Harrisonburg go east on Route 33 through Elkton.  Go right (south) on Route 628 (Beldor Road) about 3/10 mile to first sharp bend and you will see a road on left side with a chain across it. Park on right side of road and walk (up hill) about 5/","   -","HRHS Cemeteries Database 2013"
"Maple Spring","   -","Spring","Rises at West end of Chestnut Ridge, about 4.5 mi ENE of Bother Knob. Flows into Maple Spring Run","   -","HRHS Archives # 86 Whitmer"
"Maple Spring Run","Gum Run","Stream","Rises at Maple Spring, about 4.5 mi ENE of Bother Knob, near 38 31 39N, 79 08 00W, flows E about 3.1 mi into Gum Run near 38 31 04N, 79 04 59W, about 1.7 mi NW of Rawley Springs.","   -","HRHS Archives # 86 Whitmer"
"Maple Springs School","   -","School","On SR 625. About 2.5 mi NE of Huckleberry Mountain.","   -","HRHS Archives # 86 Whitmer"
"Marble Quarry","   -","Business","West Plains","P. 27","1885 Lakes Atlas Revised 2013"
"Marble Wk Lg Gld","   -","Business","East Ashby","P. 6","1885 Lakes Atlas Revised 2013"
"Market St. E","   -","Road","Harrisonburg","P. 17","1885 Lakes Atlas Revised 2013"
"Marshall Milling Company","   -","Mill","Bridgewater","   -","HRHS Mill Books"
"Marshall Run","Marshalls Run","Stream","Rises about 4.7 mi ENE of Cow Knob, near 38 42 36N, 79 00 24W, flows ESE about 5.7 mi into North Fork Shenandoah River near 38 40 56N, 78 55 39W, about 1.9 mi NW of Fulks Run","   -","HRHS Archives # 86 Whitmer"
"Marshalls Run","Marshall Run","Stream","   -","   -","HRHS Archives # 86 Whitmer"
"Martin Bottom","   -","Gap","Along Cub Run as it cuts through Second Mountain in Massanutten Mountain. About 3.7 mi NE of Lairds Knob.","   -","HRHS Archives # 86 Whitmer"
"Martin Koontz Cemetery","   -","Cemetery","East of Lacey Spring, Rockingham County, Virginia.  This cemetery is to the north of a dirt lane at the end of Route 806 (Martz Road) and the junction of Route 620 (Indian Trail Road).","   -","HRHS Cemeteries Database 2013"
"Martin Lick Run","   -","Stream","Risesa bout .3 mi NW of Wetzel Knob, near 38 43 48N, 78 58 48W, flows ENE about 3.5 mi into North Fork Shenandoah River near 38 45 04N, 78 55 24W, about 1.5 mi SE of Bergton","   -","HRHS Archives # 86 Whitmer"
"Martin Luther Church","   -","Church","On SR 865. About .5 mi NW of Bergton.","   -","HRHS Archives # 86 Whitmer"
"Martin Luther Lutheran Church","Refer to: Phanuel?s Church (See also, Souder?s (Sowder?s) Church, Dove?s [Daub?s] Church)","Church","Brock's Gap, near Bergton","Lutheran","HRHS Churches Database 2013"
"Martin Luther Lutheran Church Cemetery","   -","Cemetery","Bergton Area, Rockingham County, Virginia. From Harrisonburg, Virginia, go through Broadway and take Route 259 west (Brocks Gap Road). Drive past Fulks Run Grocery Store and continue on Rt. 259 till you come to Route 820 (Bergton Road) and turn left.","   -","HRHS Cemeteries Database 2013"
"Martin Whetzel Family Plot","   -","Cemetery","Criders area, Rockingham County, Virginia. Located east of Criders Post Office. Across river in yard of Casper Secrist.","   -","HRHS Cemeteries Database 2013"
"Martz Cemetery","   -","Cemetery","Mt. Valley area, Rockingham County, Virginia. Marie Koontz Arrington wrote these directions, Off of Route 620 (Mountain Valley Road) on a hill west of the Mountain Valley United Methodist Church on what was the Martz land.","   -","HRHS Cemeteries Database 2013"
"Martz Cemetery AKA Bethleham UCC Cemetry (#)","   -","Cemetery","Tenth Legion, Rockingham County, Virginia. Refer to Bethlehem United Church of Christ Cemetery. Same Cemetery."," # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013"
"Martz Family Cemetery","   -","Cemetery","Tenth Legion area, Rockingham County, Virginia. Recorded directions in 1960s by the D.A.R.-Off Route 11 (North Valley Pike), property owned by Lloyd Keene, Formerly owned by Thomas Heitz. On former land of Sabastian Martz. Known as Toll-Gate Farm.","   -","HRHS Cemeteries Database 2013"
"Martz Family Cemetery","   -","Cemetery","Lacey Spring area, Rockingham County, Virginia. Cemetery is located on west side of Route 11 north of Lacey Spring on the Mrs. Vivian Neff place.","   -","HRHS Cemeteries Database 2013"
"Masonic Hall","   -","Structure","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013"
"Massanetta Bible Conf. Presby. Park","Massanetta Springs, Massanetta Spring","Community","   -","   -","HRHS Archives # 86 Whitmer"
"Massanetta Spring","Massanetta Springs, Massanetta Bible Conf.","Community","   -","   -","HRHS Archives # 86 Whitmer"
"Massanetta Spring Road","   -","Road","A road extending generally SSW-NNE. Begins at intersection of SR 687 and 689, about .8 mi S of Massanetta Springs, ends at intersection of U.S. Rt.33 and SR 687, about .7 mi NNE of Massanetta Springs. Is now portion of Present day SR 687. Extends abo","   -","HRHS Archives # 86 Whitmer"
"Massanetta Springs","Massanetta Spring, Massanetta Bible Conf.","Community","On SR 687. About 3.9 mi SSE of the courthouse in Harrisonburg.","   -","HRHS Archives # 86 Whitmer"
"Massanetta Springs","Taylor Springs","Community","   -","Early name for Massanetta Springs","Other Sources"
"Massanulten Mountain","Massanutten Mountain","Mountain","   -","   -","HRHS Archives # 86 Whitmer"
"Massanutta Mountains","Massanutten Mountain","Mountain","   -","   -","HRHS Archives # 86 Whitmer"
"Massanutten Caverns","   -","Cave","At end of SR 685. About .7 mi E of Keezletown","   -","HRHS Archives # 86 Whitmer"
"Massanutten Cross Keys Cemetery","   -","Cemetery","Cross Keys, Rockingham County, Virginia.  From the corner of Main Street (Route 11) south and Port Republic Road (Route 659), travel east 5.7 miles on Port Republic Road.  Turn right onto Route 276 (Cross Keys Road), then go 7/10ths mile & turn left","   -","HRHS Cemeteries Database 2013"
"Massanutten Mill","   -","Mill","On SR 655 at Penn Laird.","   -","HRHS Archives # 86 Whitmer"
"Massanutten Mill","   -","Mill","Penn Laird","   -","HRHS Mill Books"
"Massanutten Mill","   -","Mill","East Central","P. 13","1885 Lakes Atlas Revised 2013"
"Massanutten Mountain","Massanulten Mountain, Massanutta Mtns.","Mountain","Mountain  Ridge extends SW-NE about 50 mi. in the Shenandoah Valley. Highest point is Lairds Knob, 3282'. Center near 38 39 00N, 78 36 00W","   -","HRHS Archives # 86 Whitmer"
"Massanutten Mountains","Massanutten Mtn, Massanutten Mtn","Mountain","   -","   -","HRHS Archives # 86 Whitmer"
"Massanutten Mtn.","   -","Mountain","East Central","P. 13","1885 Lakes Atlas Revised 2013"
"Massanutten Mtn.","   -","Mountain","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Massanutten Peak","Peake, The Peak","Mountain","Elevation 2922'. At the SW end of Massanutten Mountain.","   -","HRHS Archives # 86 Whitmer"
"Massanutten Presbyterian Church","(See also, Peaked Mountain Presbyterian Church)","Church","Penn Laird (Peale?s Cross Roads.)","Presbyterian","HRHS Churches Database 2013"
"Massanutten School","No. 4","School","East Plains","P. 25","1885 Lakes Atlas Revised 2013"
"Massanutten School Number 4","Biedler School","School","On SR 620. About 1.8 mi ESE of 10th Legion","   -","HRHS Archives # 86 Whitmer"
"Mauzy","Mauzy Post Office","Community","At intersection of U.S. Rt.11 and SR 608. Bout 1 mi SW of 10th Legion","   -","HRHS Archives # 86 Whitmer"
"Mauzy Family Cemetery","   -","Cemetery","Mauzy area, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 11 North to Intersection of Routes 11 and I-81, then 200 yards west on Route 259 (Mayland Road). Cemetery is in trees in the field behind the store-Shoppes at Mauzy.","   -","HRHS Cemeteries Database 2013"
"McGill or Gibson Burying Ground (*) (#)","   -","Cemetery","South of Bridgewater, Rockingham County, Virginia. Refer to MaGill - McGill Gibson Plantation Cemetery.","* Negro. # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013"
"McGills Ford","Bridgewater","River","   -","Early name for town of Bridgewater","Other Sources"
"McNeal Cab't Sh.","   -","Business","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Meadow Knob","   -","Mountain","Elevation about 3880'. On Slate Springs Mountain. About 4.3 mi SSE of High Knob.","   -","HRHS Archives # 86 Whitmer"
"Meadows Cemetery aka Cem. On Odell Hensley Farm","   -","Cemetery","Dry Run, Elkton area, Rockingham County, Virginia. Cemetery is located in area known as Dry Run on private property off Bear Foot Lane and is east of Elkton.","   -","HRHS Cemeteries Database 2013"
"Meadows Mill","   -","Mill","Elkton","   -","HRHS Mill Books"
"Meadows Store","   -","Business","At intersection of SR 623 and 625. About .7 mi NE of Huckleberry Mountain.","   -","HRHS Archives # 86 Whitmer"
"Mechanicsville","   -","Community","In intersection of SR 614 and 791. About 2.1 mi NNW of Timberville.","   -","HRHS Archives # 86 Whitmer"
"Mechanicsville","   -","Community","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"Mechansville","   -","Community","   -","   -","Other Sources"
"Melrose","Melrose Manor","Community","At intersection of U.S. Rt.11 and SR 724. About 4.8 mi NW of Harrisonburg","   -","HRHS Archives # 86 Whitmer"
"Melrose Caverns","   -","Cave","Near intersection of U.S. Rt.11 and SR 721. About 2.1 mi SW of Lacey Spring community.","   -","HRHS Archives # 86 Whitmer"
"Melrose Church of the Brethren","Refer to: Melrose Dunkard Church","Church","Melrose","Church of the Brethren","HRHS Churches Database 2013"
"Melrose Dunkard Church","(See also, Melrose Church of the Brethren)","Church","Melrose","Dunkard","HRHS Churches Database 2013"
"Melrose Manor","Melrose","Community","   -","   -","HRHS Archives # 86 Whitmer"
"Melrose P. O.","   -","Post Office","East Linville Creek","P. 19","1885 Lakes Atlas Revised 2013"
"Melrose Post Office","   -","Post Office","On U.S. Rt.11. aBout 2.6 mi ESE of Linville.","   -","HRHS Archives # 86 Whitmer"
"Melrose Road","   -","Road","A road extending generally SE-NW from Melrose to Linville. Begins at intersection of U.S. Rt.11 and SR 724 (at Melrose) and ends at intersection of SR 724 and 725 (at Linville). Is now portion of present day SR 724. Extends about 2.8 mi","   -","HRHS Archives # 86 Whitmer"
"Melrose Sch.","Sch.","School","East Linville Creek","P. 19","1885 Lakes Atlas Revised 2013"
"Melrose School","   -","School","At Melrose.","   -","HRHS Archives # 86 Whitmer"
"Memorial Road","Port Republic Road","Road","A road extending generally N-S. Begins as Reservoir St. in Harrisonburg and becomes SR 710, ends at Northern intersection of SR 659 and 710, about 3 mi S of the courthouse in Harrisonburg. Is now portion of present day SR 710. Extends about 2.4 mi in","   -","HRHS Archives # 86 Whitmer"
"Mennonite Cemetery","(Bank Ch)","Cemetery","East Ashby","P. 6","1885 Lakes Atlas Revised 2013"
"Mennonite Ch.","   -","Church","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"Mennonite Church","   -","Church","East Central","P. 12","1885 Lakes Atlas Revised 2013"
"Mennonite Church","   -","Church","East Central","P. 12","1885 Lakes Atlas Revised 2013"
"Merica Cemetery","   -","Cemetery","Elkton area, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 33 East to Elkton. Turn north onto Route 340 (East Side Hwy) and go 2.2 miles to Route 607 (Red Brush Road). Turn right onto Route 607 and go 1/2 mile to Route 603 (Blo","   -","HRHS Cemeteries Database 2013"
"Merica Mill","   -","Mill","Naked Creek","   -","HRHS Mill Books"
"Messick Family Cemetery","   -","Cemetery","West of Timberville, Rockingham County, Virginia.  From downtown Harrisonburg, take Route 42 North.  In Broadway, Route 42 turns right and then left.  (Names for Route 42 are Harpine Highway, E. Lee St., Timber Way, S. Main St., & N. Main St.)  Trave","   -","HRHS Cemeteries Database 2013"
"Meth E. Ch. S.","   -","Church","Harrisonburg","P. 17","1885 Lakes Atlas Revised 2013"
"Meth. Ch.","   -","Church","Harrisonburg","P. 17","1885 Lakes Atlas Revised 2013"
"Meth. E. Ch. Col.d","   -","Church","West Central","P. 15","1885 Lakes Atlas Revised 2013"
"Meyerhoeffers P.O.","   -","Post Office","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Meyerhoeffers Store","Meyerhoeffers Store Post Office","Community","   -","   -","HRHS Archives # 86 Whitmer"
"Meyerhoeffers Store Post Office","Meyerhoeffers Store","Post Office","On SR 276. About 1.7 mi SW of Cross Keys.","   -","HRHS Archives # 86 Whitmer"
"Michael Baker Cemetery","   -","Cemetery","Fulks Run, Rockingham County, Virginia. Going west on Route 259 from Fulks Run Grocery, you will pass by the Yankeytown bridge (Route 819).  About 1/2 mile from that bridge is a wide open valley with a dairy farm and brick Cape Cod style house on the","   -","HRHS Cemeteries Database 2013"
"Middle Mountain","   -","Mountain","Elevation about 2800'. Extends SW-NE about 1 mi. Center about 2.2 mi NNE of Bald Knob. Rawley Springs A","   -","HRHS Archives # 86 Whitmer"
"Middle Mountain","   -","Mountain","Elevation about 3600'. Extends W-E about 2 mi from SE side of Shenandoah Mountain. Center about 1.6 mi NE of High Knob.","   -","HRHS Archives # 86 Whitmer"
"Middle Point","   -","Mountain","Elevation 2785'. About 2.6 mi SSW of Wetzel Knob.","   -","HRHS Archives # 86 Whitmer"
"Middle Ridge","   -","Hill","Elevation 1897'. Extends E-W. About 1 mile from East side of Supin Lick Mntn. Highest point near 38 43 46N, 78 49 34W. Center about 4 mi WNW of Moores Store, which is in Shenandoah Co.","   -","HRHS Archives # 86 Whitmer"
"Middle Ridge","   -","Mountain","Elevation about 2400'. Extends SSE about 2 mi from S side of Carr Mountain. Center about 4.3 mi E of Cow Knob.","   -","HRHS Archives # 86 Whitmer"
"Middle Road","Ridge Road, Kratzer Road, Harpine Hwy","Road","A road which entended generally NNE-SSW, at least from Forestville in Shenandoah Co. to Harrisonburg. It certainly began at Timberville as present day U.S. Rt.42 and ended at intersection of present day SR 753 and Harrisonburg City Limits. Was portio","   -","HRHS Archives # 86 Whitmer"
"Middle Road","   -","Road","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013"
"Middle Road","   -","Road","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"MiII","G.","Mill","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013"
