"placename","othername","designator","location","remarks","infosource","RandID"
"Louis E. Swank Place Cemetery","   -","Cemetery","Singers Glen area, Rockingham County, Virginia.  Was located on Route 613 north of Singers Glen, north of barn, on Louis E. Swank's Place.","   -","HRHS Cemeteries Database 2013","519777195726"
"Lovers Leap","   -","Rocks","About .4 mi S of Rawley Springs","   -","HRHS Archives # 86 Whitmer","491519396757"
"Low Place Run","   -","Stream","Rises about 6.5 mi ENE of Brandywine, Wva. Near 38 39 06N, 79 07 50W. Flows S about 3 mi into Dry river near 38 36 34N, 79 07 40W & about 3.5 mi NE of High Knob","   -","HRHS Archives # 86 Whitmer","580909823135"
"Lower Lewis Run","Hangmans Run","Stream","Rises about .3 mi S of Rockytop, near 38 17 04N, 78 42 46W, flows NW about 4 mi into South Fork Shenandoah River near 38 19 10N, 78 45 32W, about 3.3 mi NE of Port Republic","Hangmans Run on VDOT 1939-32 maps. Probably mislabled","HRHS Archives # 86 Whitmer","798244579444"
"Lower Mill","Custers Mill","Mill","Hinton","   -","HRHS Mill Books","954927662897"
"Luck Hollow","   -","Valley","Runs S to N extends about 1.2 mi, mouth of hollow opens onto White Oak Run, near 38 14 36N, 78 44 38W. Hollow begins near 38 13 36N, 78 44 50W. Center about 1.8 mi W of Browns Gap","   -","HRHS Archives # 86 Whitmer","642336782732"
"Lurty & Newman","   -","Business","West Central","P. 15","1885 Lakes Atlas Revised 2013","951565109643"
"Luther Crider Place Cemetery","   -","Cemetery","Crider area, Rockingham County, Virginia. Located south of Criders Route 825 on Cold Spring River.","   -","HRHS Cemeteries Database 2013","424421962852"
"Lutheran Church","   -","Church","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 11","1885 Lakes Atlas Revised 2013","583402211759"
"Lutheren Church at Millers","   -","Church","Unknown (Miller?s Round Hill?)","Lutheran","HRHS Churches Database 2013","471184636342"
"Madisons Run","Madisons Run","Stream","   -","   -","HRHS Archives # 86 Whitmer","541191586105"
"Madison's Run","   -","Stream","Stonewall","P. 31","1885 Lakes Atlas Revised 2013","329107586589"
"Magill-McGill-Gibbons Plantation Cemetery","   -","Cemetery","Bridgewater area, Rockingham County, Virginia.  In 1967 located on the Stoutamyer sisters home south of Bridgewater on Route 42.","   -","HRHS Cemeteries Database 2013","202232139198"
"Maiden Cemetery","   -","Cemetery","From Harrisonburg go east on Route 33 through Elkton.  Go right (south) on Route 628 (Beldor Road) about 3/10 mile to first sharp bend and you will see a road on left side with a chain across it. Park on right side of road and walk (up hill) about 5/","   -","HRHS Cemeteries Database 2013","810953366563"
"Maple Spring","   -","Spring","Rises at West end of Chestnut Ridge, about 4.5 mi ENE of Bother Knob. Flows into Maple Spring Run","   -","HRHS Archives # 86 Whitmer","65415608629"
"Maple Spring Run","Gum Run","Stream","Rises at Maple Spring, about 4.5 mi ENE of Bother Knob, near 38 31 39N, 79 08 00W, flows E about 3.1 mi into Gum Run near 38 31 04N, 79 04 59W, about 1.7 mi NW of Rawley Springs.","   -","HRHS Archives # 86 Whitmer","254894386298"
"Maple Springs School","   -","School","On SR 625. About 2.5 mi NE of Huckleberry Mountain.","   -","HRHS Archives # 86 Whitmer","497366373628"
"Marble Quarry","   -","Business","West Plains","P. 27","1885 Lakes Atlas Revised 2013","597101801846"
"Marble Wk Lg Gld","   -","Business","East Ashby","P. 6","1885 Lakes Atlas Revised 2013","235014641046"
"Market St. E","   -","Road","Harrisonburg","P. 17","1885 Lakes Atlas Revised 2013","84989567215"
"Marshall Milling Company","   -","Mill","Bridgewater","   -","HRHS Mill Books","284579949654"
"Marshall Run","Marshalls Run","Stream","Rises about 4.7 mi ENE of Cow Knob, near 38 42 36N, 79 00 24W, flows ESE about 5.7 mi into North Fork Shenandoah River near 38 40 56N, 78 55 39W, about 1.9 mi NW of Fulks Run","   -","HRHS Archives # 86 Whitmer","246135788900"
"Marshalls Run","Marshall Run","Stream","   -","   -","HRHS Archives # 86 Whitmer","657861602570"
"Martin Bottom","   -","Gap","Along Cub Run as it cuts through Second Mountain in Massanutten Mountain. About 3.7 mi NE of Lairds Knob.","   -","HRHS Archives # 86 Whitmer","502352230346"
"Martin Koontz Cemetery","   -","Cemetery","East of Lacey Spring, Rockingham County, Virginia.  This cemetery is to the north of a dirt lane at the end of Route 806 (Martz Road) and the junction of Route 620 (Indian Trail Road).","   -","HRHS Cemeteries Database 2013","681394889675"
"Martin Lick Run","   -","Stream","Risesa bout .3 mi NW of Wetzel Knob, near 38 43 48N, 78 58 48W, flows ENE about 3.5 mi into North Fork Shenandoah River near 38 45 04N, 78 55 24W, about 1.5 mi SE of Bergton","   -","HRHS Archives # 86 Whitmer","692928833557"
"Martin Luther Church","   -","Church","On SR 865. About .5 mi NW of Bergton.","   -","HRHS Archives # 86 Whitmer","482683724484"
"Martin Luther Lutheran Church","Refer to: Phanuel?s Church (See also, Souder?s (Sowder?s) Church, Dove?s [Daub?s] Church)","Church","Brock's Gap, near Bergton","Lutheran","HRHS Churches Database 2013","181623164523"
"Martin Luther Lutheran Church Cemetery","   -","Cemetery","Bergton Area, Rockingham County, Virginia. From Harrisonburg, Virginia, go through Broadway and take Route 259 west (Brocks Gap Road). Drive past Fulks Run Grocery Store and continue on Rt. 259 till you come to Route 820 (Bergton Road) and turn left.","   -","HRHS Cemeteries Database 2013","558417661520"
"Martin Whetzel Family Plot","   -","Cemetery","Criders area, Rockingham County, Virginia. Located east of Criders Post Office. Across river in yard of Casper Secrist.","   -","HRHS Cemeteries Database 2013","787914799682"
"Martz Cemetery","   -","Cemetery","Mt. Valley area, Rockingham County, Virginia. Marie Koontz Arrington wrote these directions, Off of Route 620 (Mountain Valley Road) on a hill west of the Mountain Valley United Methodist Church on what was the Martz land.","   -","HRHS Cemeteries Database 2013","781746521110"
"Martz Cemetery AKA Bethleham UCC Cemetry (#)","   -","Cemetery","Tenth Legion, Rockingham County, Virginia. Refer to Bethlehem United Church of Christ Cemetery. Same Cemetery."," # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013","258839298914"
"Martz Family Cemetery","   -","Cemetery","Tenth Legion area, Rockingham County, Virginia. Recorded directions in 1960s by the D.A.R.-Off Route 11 (North Valley Pike), property owned by Lloyd Keene, Formerly owned by Thomas Heitz. On former land of Sabastian Martz. Known as Toll-Gate Farm.","   -","HRHS Cemeteries Database 2013","69856176361"
"Martz Family Cemetery","   -","Cemetery","Lacey Spring area, Rockingham County, Virginia. Cemetery is located on west side of Route 11 north of Lacey Spring on the Mrs. Vivian Neff place.","   -","HRHS Cemeteries Database 2013","959150730145"
"Masonic Hall","   -","Structure","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013","540762597719"
"Massanetta Bible Conf. Presby. Park","Massanetta Springs, Massanetta Spring","Community","   -","   -","HRHS Archives # 86 Whitmer","398773485628"
"Massanetta Spring","Massanetta Springs, Massanetta Bible Conf.","Community","   -","   -","HRHS Archives # 86 Whitmer","781977246469"
"Massanetta Spring Road","   -","Road","A road extending generally SSW-NNE. Begins at intersection of SR 687 and 689, about .8 mi S of Massanetta Springs, ends at intersection of U.S. Rt.33 and SR 687, about .7 mi NNE of Massanetta Springs. Is now portion of Present day SR 687. Extends abo","   -","HRHS Archives # 86 Whitmer","14634359046"
"Massanetta Springs","Massanetta Spring, Massanetta Bible Conf.","Community","On SR 687. About 3.9 mi SSE of the courthouse in Harrisonburg.","   -","HRHS Archives # 86 Whitmer","253875951894"
"Massanetta Springs","Taylor Springs","Community","   -","Early name for Massanetta Springs","Other Sources","859776445372"
"Massanulten Mountain","Massanutten Mountain","Mountain","   -","   -","HRHS Archives # 86 Whitmer","171504100372"
"Massanutta Mountains","Massanutten Mountain","Mountain","   -","   -","HRHS Archives # 86 Whitmer","256636159007"
"Massanutten Caverns","   -","Cave","At end of SR 685. About .7 mi E of Keezletown","   -","HRHS Archives # 86 Whitmer","2649237610"
"Massanutten Cross Keys Cemetery","   -","Cemetery","Cross Keys, Rockingham County, Virginia.  From the corner of Main Street (Route 11) south and Port Republic Road (Route 659), travel east 5.7 miles on Port Republic Road.  Turn right onto Route 276 (Cross Keys Road), then go 7/10ths mile & turn left","   -","HRHS Cemeteries Database 2013","796104673228"
"Massanutten Mill","   -","Mill","On SR 655 at Penn Laird.","   -","HRHS Archives # 86 Whitmer","335659516087"
"Massanutten Mill","   -","Mill","Penn Laird","   -","HRHS Mill Books","964865124045"
"Massanutten Mill","   -","Mill","East Central","P. 13","1885 Lakes Atlas Revised 2013","664373215415"
"Massanutten Mountain","Massanulten Mountain, Massanutta Mtns.","Mountain","Mountain  Ridge extends SW-NE about 50 mi. in the Shenandoah Valley. Highest point is Lairds Knob, 3282'. Center near 38 39 00N, 78 36 00W","   -","HRHS Archives # 86 Whitmer","720903679031"
"Massanutten Mountains","Massanutten Mtn, Massanutten Mtn","Mountain","   -","   -","HRHS Archives # 86 Whitmer","189584943917"
"Massanutten Mtn.","   -","Mountain","East Central","P. 13","1885 Lakes Atlas Revised 2013","994851239772"
"Massanutten Mtn.","   -","Mountain","Stonewall","P. 30","1885 Lakes Atlas Revised 2013","571138370193"
"Massanutten Peak","Peake, The Peak","Mountain","Elevation 2922'. At the SW end of Massanutten Mountain.","   -","HRHS Archives # 86 Whitmer","740412939971"
"Massanutten Presbyterian Church","(See also, Peaked Mountain Presbyterian Church)","Church","Penn Laird (Peale?s Cross Roads.)","Presbyterian","HRHS Churches Database 2013","288686211223"
"Massanutten School","No. 4","School","East Plains","P. 25","1885 Lakes Atlas Revised 2013","150941050904"
"Massanutten School Number 4","Biedler School","School","On SR 620. About 1.8 mi ESE of 10th Legion","   -","HRHS Archives # 86 Whitmer","691997502421"
"Mauzy","Mauzy Post Office","Community","At intersection of U.S. Rt.11 and SR 608. Bout 1 mi SW of 10th Legion","   -","HRHS Archives # 86 Whitmer","350825184527"
"Mauzy Family Cemetery","   -","Cemetery","Mauzy area, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 11 North to Intersection of Routes 11 and I-81, then 200 yards west on Route 259 (Mayland Road). Cemetery is in trees in the field behind the store-Shoppes at Mauzy.","   -","HRHS Cemeteries Database 2013","532173595194"
"McGill or Gibson Burying Ground (*) (#)","   -","Cemetery","South of Bridgewater, Rockingham County, Virginia. Refer to MaGill - McGill Gibson Plantation Cemetery.","* Negro. # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013","1836213849"
"McGills Ford","Bridgewater","River","   -","Early name for town of Bridgewater","Other Sources","791869052210"
"McNeal Cab't Sh.","   -","Business","East Ashby","P. 7","1885 Lakes Atlas Revised 2013","330950919055"
"Meadow Knob","   -","Mountain","Elevation about 3880'. On Slate Springs Mountain. About 4.3 mi SSE of High Knob.","   -","HRHS Archives # 86 Whitmer","224404778424"
"Meadows Cemetery aka Cem. On Odell Hensley Farm","   -","Cemetery","Dry Run, Elkton area, Rockingham County, Virginia. Cemetery is located in area known as Dry Run on private property off Bear Foot Lane and is east of Elkton.","   -","HRHS Cemeteries Database 2013","485853731965"
"Meadows Mill","   -","Mill","Elkton","   -","HRHS Mill Books","228873060213"
"Meadows Store","   -","Business","At intersection of SR 623 and 625. About .7 mi NE of Huckleberry Mountain.","   -","HRHS Archives # 86 Whitmer","461917263882"
"Mechanicsville","   -","Community","In intersection of SR 614 and 791. About 2.1 mi NNW of Timberville.","   -","HRHS Archives # 86 Whitmer","402955028461"
"Mechanicsville","   -","Community","East Plains","P. 24","1885 Lakes Atlas Revised 2013","531371025417"
"Mechansville","   -","Community","   -","   -","Other Sources","173469068128"
"Melrose","Melrose Manor","Community","At intersection of U.S. Rt.11 and SR 724. About 4.8 mi NW of Harrisonburg","   -","HRHS Archives # 86 Whitmer","433200997059"
"Melrose Caverns","   -","Cave","Near intersection of U.S. Rt.11 and SR 721. About 2.1 mi SW of Lacey Spring community.","   -","HRHS Archives # 86 Whitmer","612606429140"
"Melrose Church of the Brethren","Refer to: Melrose Dunkard Church","Church","Melrose","Church of the Brethren","HRHS Churches Database 2013","726684398941"
"Melrose Dunkard Church","(See also, Melrose Church of the Brethren)","Church","Melrose","Dunkard","HRHS Churches Database 2013","295616976657"
"Melrose Manor","Melrose","Community","   -","   -","HRHS Archives # 86 Whitmer","654117023491"
"Melrose P. O.","   -","Post Office","East Linville Creek","P. 19","1885 Lakes Atlas Revised 2013","804268700676"
"Melrose Post Office","   -","Post Office","On U.S. Rt.11. aBout 2.6 mi ESE of Linville.","   -","HRHS Archives # 86 Whitmer","997326151738"
"Melrose Road","   -","Road","A road extending generally SE-NW from Melrose to Linville. Begins at intersection of U.S. Rt.11 and SR 724 (at Melrose) and ends at intersection of SR 724 and 725 (at Linville). Is now portion of present day SR 724. Extends about 2.8 mi","   -","HRHS Archives # 86 Whitmer","988371972730"
"Melrose Sch.","Sch.","School","East Linville Creek","P. 19","1885 Lakes Atlas Revised 2013","661338107536"
"Melrose School","   -","School","At Melrose.","   -","HRHS Archives # 86 Whitmer","174444639910"
"Memorial Road","Port Republic Road","Road","A road extending generally N-S. Begins as Reservoir St. in Harrisonburg and becomes SR 710, ends at Northern intersection of SR 659 and 710, about 3 mi S of the courthouse in Harrisonburg. Is now portion of present day SR 710. Extends about 2.4 mi in","   -","HRHS Archives # 86 Whitmer","175448836640"
"Mennonite Cemetery","(Bank Ch)","Cemetery","East Ashby","P. 6","1885 Lakes Atlas Revised 2013","236642173245"
"Mennonite Ch.","   -","Church","East Plains","P. 24","1885 Lakes Atlas Revised 2013","104117440813"
"Mennonite Church","   -","Church","East Central","P. 12","1885 Lakes Atlas Revised 2013","207085054153"
"Mennonite Church","   -","Church","East Central","P. 12","1885 Lakes Atlas Revised 2013","116015333196"
"Merica Cemetery","   -","Cemetery","Elkton area, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 33 East to Elkton. Turn north onto Route 340 (East Side Hwy) and go 2.2 miles to Route 607 (Red Brush Road). Turn right onto Route 607 and go 1/2 mile to Route 603 (Blo","   -","HRHS Cemeteries Database 2013","447696671851"
"Merica Mill","   -","Mill","Naked Creek","   -","HRHS Mill Books","685755276365"
"Messick Family Cemetery","   -","Cemetery","West of Timberville, Rockingham County, Virginia.  From downtown Harrisonburg, take Route 42 North.  In Broadway, Route 42 turns right and then left.  (Names for Route 42 are Harpine Highway, E. Lee St., Timber Way, S. Main St., & N. Main St.)  Trave","   -","HRHS Cemeteries Database 2013","124017814224"
"Meth E. Ch. S.","   -","Church","Harrisonburg","P. 17","1885 Lakes Atlas Revised 2013","672175763787"
"Meth. Ch.","   -","Church","Harrisonburg","P. 17","1885 Lakes Atlas Revised 2013","225451281026"
"Meth. E. Ch. Col.d","   -","Church","West Central","P. 15","1885 Lakes Atlas Revised 2013","56752258031"
"Meyerhoeffers P.O.","   -","Post Office","East Ashby","P. 7","1885 Lakes Atlas Revised 2013","346684877192"
"Meyerhoeffers Store","Meyerhoeffers Store Post Office","Community","   -","   -","HRHS Archives # 86 Whitmer","884437165942"
"Meyerhoeffers Store Post Office","Meyerhoeffers Store","Post Office","On SR 276. About 1.7 mi SW of Cross Keys.","   -","HRHS Archives # 86 Whitmer","874243496336"
"Michael Baker Cemetery","   -","Cemetery","Fulks Run, Rockingham County, Virginia. Going west on Route 259 from Fulks Run Grocery, you will pass by the Yankeytown bridge (Route 819).  About 1/2 mile from that bridge is a wide open valley with a dairy farm and brick Cape Cod style house on the","   -","HRHS Cemeteries Database 2013","184408022401"
"Middle Mountain","   -","Mountain","Elevation about 2800'. Extends SW-NE about 1 mi. Center about 2.2 mi NNE of Bald Knob. Rawley Springs A","   -","HRHS Archives # 86 Whitmer","390406389283"
"Middle Mountain","   -","Mountain","Elevation about 3600'. Extends W-E about 2 mi from SE side of Shenandoah Mountain. Center about 1.6 mi NE of High Knob.","   -","HRHS Archives # 86 Whitmer","365234550089"
"Middle Point","   -","Mountain","Elevation 2785'. About 2.6 mi SSW of Wetzel Knob.","   -","HRHS Archives # 86 Whitmer","681026135741"
"Middle Ridge","   -","Hill","Elevation 1897'. Extends E-W. About 1 mile from East side of Supin Lick Mntn. Highest point near 38 43 46N, 78 49 34W. Center about 4 mi WNW of Moores Store, which is in Shenandoah Co.","   -","HRHS Archives # 86 Whitmer","685861962433"
"Middle Ridge","   -","Mountain","Elevation about 2400'. Extends SSE about 2 mi from S side of Carr Mountain. Center about 4.3 mi E of Cow Knob.","   -","HRHS Archives # 86 Whitmer","88163837131"
"Middle Road","Ridge Road, Kratzer Road, Harpine Hwy","Road","A road which entended generally NNE-SSW, at least from Forestville in Shenandoah Co. to Harrisonburg. It certainly began at Timberville as present day U.S. Rt.42 and ended at intersection of present day SR 753 and Harrisonburg City Limits. Was portio","   -","HRHS Archives # 86 Whitmer","225612832540"
"Middle Road","   -","Road","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013","959574786810"
"Middle Road","   -","Road","East Plains","P. 24","1885 Lakes Atlas Revised 2013","605366529421"
"MiII","G.","Mill","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013","924931233334"
"MiII","G.","Mill","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013","350373451189"
"MiII","S S","Mill","West Linville Creek","P. 15","1885 Lakes Atlas Revised 2013","798956690986"
"MiII","Saw","Mill","West Linville Creek","P. 14","1885 Lakes Atlas Revised 2013","68689925798"
"MiIl","G(rist)","Mill","West Ashby","P. 9","1885 Lakes Atlas Revised 2013","72486062774"
"MiIl","G(rist)","Mill","West Ashby","P. 9","1885 Lakes Atlas Revised 2013","191797558503"
"Milbank Mill","   -","Mill","Stonewall","P. 30","1885 Lakes Atlas Revised 2013","184312069320"
"Milbank Mills","   -","Mill","A water powered mill on South Fork Shenandoah River. On SR 635. About .8 mi W of Elkton.","   -","HRHS Archives # 86 Whitmer","662847317879"
"Mile Run","   -","Other","Stonewall","P. 31","1885 Lakes Atlas Revised 2013","980626741804"
"Miles Rods","   -","Other","West Linville Creek","P. 14","1885 Lakes Atlas Revised 2013","32624855630"
"Mill","Hopkins","Mill","East Central","P. 12","1885 Lakes Atlas Revised 2013","34742210737"
"Mill at Wildwood Park","   -","Mill","Bridgewater","   -","HRHS Mill Books","600865587541"
"Mill Bank","Millbank","Community","   -","   -","HRHS Archives # 86 Whitmer","901662215655"
"Mill Bank P O","   -","Post Office","Stonewall","P. 30","1885 Lakes Atlas Revised 2013","332163695113"
"Mill Creek","Congers Creek, Duck Creek","Stream","Rises about .8 mi WNW of Cross Keys, near 38 21 47N, 78 51 23W, flows SSE about 7.1 mi into North River near 38 18 18N, 78 49 16W, about .8 mi NW of Port Republic.","   -","HRHS Archives # 86 Whitmer","5195964441"
"Mill Creek","   -","Stream","Rises about 4.8 mi W of Moores Store, near 38 43 12N, 78 50 42W, flows E about 15 mi into North Fork Shenandoah River, just SE of Mt. Jackson near 38 44 29N, 78 38 16W.","   -","HRHS Archives # 86 Whitmer","150128957511"
"Mill Creek","   -","Stream","Rises about 2.4 mi SW of Swift Run Gap, near 38 19 48N, 78 34 32W, flows NNW about 3.2 mi into Hawksbill Creek near 38 21 40N, 78 36 10W, about 3.1 mi W of Swift Run Gap","   -","HRHS Archives # 86 Whitmer","814398602928"
"Mill Creek Church","Mill Creek German Baptist Church","Church","On SR 659. About 1.9 mi SE of Cross Keys","   -","HRHS Archives # 86 Whitmer","984179350503"
"Mill Creek Church of the Brethren","Refer to Mill Creek Meetinghouse. (See also, Mill Creek Church of the Brethren Old)","Church","Port Republic, east of","Church of the Brethren","HRHS Churches Database 2013","41736665054"
"Mill Creek Church of the Brethren (Old)","Refer to Mill Creek Meetinghouse. (See also, Mill Creek Church of the Brethren)","Church","Port Republic, east of","Church of the Brethren","HRHS Churches Database 2013","168289378889"
"Mill Creek Church of the Brethren Cemetery","   -","Cemetery","Port Republic, Rockingham County, Virginia. From South Main St (Route 11) in Harrisonburg, turn West on Port Republic Road (Route 759) and proceed 8 miles, the church is on the right.","   -","HRHS Cemeteries Database 2013","950729052076"
"Mill Creek Ger Bapt Ch.","   -","Church","East Ashby","P. 7","1885 Lakes Atlas Revised 2013","203623641413"
"Mill Creek German Baptist Church","Mill Creek Church","Church","   -","   -","HRHS Archives # 86 Whitmer","468119034919"
"Mill Creek Meetinghouse","(See also, Mill Creek Church of the Brethren and Mill Creek Church of the Brethren (Old)","Church","Not Located","Dunkard","HRHS Churches Database 2013","220139174270"
"Mill Creek School","No 26","School","East Ashby","P. 7","1885 Lakes Atlas Revised 2013","607062766074"
"Mill Creek School Number 26","   -","School","On SR 659. About 1.9 mi SE of Cross Keys.","   -","HRHS Archives # 86 Whitmer","146525724881"
"Mill G&S","   -","Mill","Port Republic","P. 22","1885 Lakes Atlas Revised 2013","262499315308"
"Mill Pond Spring","Silver Lake","Lake","Dayton","Early name for Silver Lake","Other Sources","787741897842"
"Mill S&G","   -","Mill","East Plains","P. 25","1885 Lakes Atlas Revised 2013","504559040395"
"Mill S&G","   -","Mill","East Plains","P. 25","1885 Lakes Atlas Revised 2013","31781130760"
"Mill.","Grist","Mill","East Plains","P. 24","1885 Lakes Atlas Revised 2013","493255839431"
"Millbank","Mill Bank, Millbank Post Office","Community","At intersection of business Rt. U.S. 33 and SR 635. About .7 mi W of Elkton.","   -","HRHS Archives # 86 Whitmer","758133517638"
"Millbank Post Office","Mill Bank, Millbank","Post Office","   -","   -","HRHS Archives # 86 Whitmer","522438708464"
"Mille Run","Onemile Run","Stream","Rises about 3.1 mi E of Rockytop.","   -","HRHS Archives # 86 Whitmer","456599342714"
"Miller","Mrs. G.","Structure","West Ashby","P. 9","1885 Lakes Atlas Revised 2013","99850537742"
"Miller Addition","   -","Community","A subdivision in Elkton. Old U.S. Rt.33 on N, Water St. on S, Harnsberger St. on E, Railroad Tracks to West","   -","HRHS Archives # 86 Whitmer","229797657206"
"Miller Family Cemetery","   -","Cemetery","Pineville area, Rockingham County, Virginia. Recorded directions in 1960s by the D.A.R.-Located on farm of Jacob P. Kyger on Route 865. (Note-Route 865 is located in west Rockingham County. Believe this should be Route 655 Lawyer Road)","   -","HRHS Cemeteries Database 2013","809130160494"
"Miller Family Cemetery","   -","Cemetery","Fulks Run, Rockingham County, Virginia. From Fulks Run Grocery, continue west on Route 259 for about 2 miles.  Turn left onto Route 819 (Yankeytown Road also Marshall Run Road).  After crossing the bridge, take the first left onto a gravel lane to  A","   -","HRHS Cemeteries Database 2013","213569719834"
"Miller Family Cemetery","   -","Cemetery","Rockingham County, Virginia. From Route 42 North, turn left onto Route 763 (Mt. Clinton Pike/Singers Glen Road). Before you reach Route 701 (Cooks Creek Road). Located on the Spangler farm.","   -","HRHS Cemeteries Database 2013","196578522534"
"Miller House","   -","Structure","Rawley Springs","P. 27","1885 Lakes Atlas Revised 2013","850768566810"
"Miller Road","   -","Road","A road enxtending generally NNE-SSW. Begins at intersection of U.S. Rt.42 & 699, about 2.9 mi WNW of Mt. Crawford, ends probably at Western intersection of SR 646 & 699, at Centerville in Augusta Co. Is now portion of present day SR 699. Extends abou","   -","HRHS Archives # 86 Whitmer","733896658511"
"Miller Run","Millers Run","Stream","Rises about 1 mi SSE of Furnace Mountain, near 38 13 59N, 78 45 24W, flows NW about 6.2 mi into South River, near 38 17 17N, 78 49 00W, about .6 mi SW of Port Republic.","   -","HRHS Archives # 86 Whitmer","364376629298"
"Miller Spring Run","Big Laural Run","Stream","Rises about 1.7 mi N of Bald Knob, near 38 36 49N, 79 03 30W, flows W about 3 mi into Dry River near 38 36 36N, 79 05 58W, about 2.5 mi NW of Bald Knob.","   -","HRHS Archives # 86 Whitmer","352721996705"
"Miller-Pence Family Cemetery","   -","Cemetery","East Rockingham County, Virginia. Recorded directions in 1960s by the D.A.R.-Was located on farm now owned by John Heatwole-Route 865. (Note-Route 865 is located in west Rockingham County. Believe this should be Route 655 (Lawyer Road).)","   -","HRHS Cemeteries Database 2013","345631540436"
"Millers Knob","   -","Hill","Elevation about 1680'. About 1.6 mi NW of Fulks Run","   -","HRHS Archives # 86 Whitmer","799737574891"
"Millers Knob","   -","Hill","West Plains","P. 27","1885 Lakes Atlas Revised 2013","693957630489"
"Millers Mill","   -","Mill","Silver Creek, Montezuma","   -","HRHS Mill Books","261460333394"
"Millers Run","   -","Stream","Rises about 1 mi SSE of Furnace Mountain","   -","HRHS Archives # 86 Whitmer","642005466775"
"Miller-Wine Road","   -","Road","A road entending generally SE-NW. Begins at intersection of SR 614 and 812, about 2.5 mi SW of Moores Store in Shenandoah Co., ends at intersection of SR 613 & 812, about 2.7 mi WSW of Moores Store. Isnow part of present day SR 812. Extends about 1.7","   -","HRHS Archives # 86 Whitmer","935234996448"
"Mills","Broadway","Mill","East Plains","P. 24","1885 Lakes Atlas Revised 2013","253298727983"
"Mills","Craney Is","Mill","East Plains","P. 25","1885 Lakes Atlas Revised 2013","391929341391"
"Mills","River Bank","Mill","Stonewall","P. 30","1885 Lakes Atlas Revised 2013","433563912585"
"Mills","S&G","Mill","East Plains","P. 25","1885 Lakes Atlas Revised 2013","722730423452"
"Mills","Stoney Pt.","Mill","East Plains","P. 25","1885 Lakes Atlas Revised 2013","246168407343"
"Mills","   -","Mill","East Plains","P. 24","1885 Lakes Atlas Revised 2013","554733528356"
"Milnes","   -","Community","Stonewall","P. 30","1885 Lakes Atlas Revised 2013","58662397810"
"Milstadt","   -","Other","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 11","1885 Lakes Atlas Revised 2013","322490615480"
"Milstead","   -","Other","East Ashby","P. 6","1885 Lakes Atlas Revised 2013","475102696238"
"Mine Mountain","   -","Mountain","Shows as extending NW-SE about 2.5 mi from SE side of Shenandoah Mntn. Center about 3.8 mi NW of Bergton","   -","HRHS Archives # 86 Whitmer","372284662392"
"Mineral Lands","   -","Business","West Linville Creek","P. 15","1885 Lakes Atlas Revised 2013","1698146094"
"Mineral Lands B H",,"Business","West Plains","P. 26","1885 Lakes Atlas Revised 2013","602708556152"
"Mines Hollow Road","   -","Road","West Ashby","P. 8","1885 Lakes Atlas Revised 2013","338187166485"
"Mines Hollow Run","Mines Run","Stream","   -","   -","HRHS Archives # 86 Whitmer","893482174952"
"Mines Run","Mines Hollow Run","Stream","Rises about 2.5 mi NE of Reddish Knob, near 38 29 23N, 79 12 38W, flows SE about 4 mi into Briery Branch at Briery Branch Dam, near 38 27 06N, 79 09 45W, about 4.5 mi E of Reddish Knob","   -","HRHS Archives # 86 Whitmer","987067394395"
"Mines Run Trail","   -","Road","A jeep trail in George Washington Natl Forest, extending SE-NW about 2.5 mi along Mines jRun. Center near 38 27 43N, 79 10 47W","   -","HRHS Archives # 86 Whitmer","284261589144"
"Minnick Family Cemetery","   -","Cemetery","Rockingham County, Virginia. From Harrisonburg, Virginia, go south on Route 42 (John Wayland Highway) to Dayton. Then turn right (West) on Rt. 257 (Ottobine Rd). Drive six miles to the intersection of Rt. 257 and Rt. 613. The Ottobine Store is on the","   -","HRHS Cemeteries Database 2013","567083922734"
"Model Mill","   -","Mill","McGaheysville","   -","HRHS Mill Books","630005006919"
"Model Mills","   -","Mill","A water powered mill on Smith Creek, on SR 796. About 1.8 mi NE of 10th Legion.","   -","HRHS Archives # 86 Whitmer","709762133714"
"Model Mills","   -","Mill","East Plains","P. 25","1885 Lakes Atlas Revised 2013","523715580834"
"Model School","   -","School","On SR 640. About 3.5 mi WSW of Elkton.","   -","HRHS Archives # 86 Whitmer","577892523210"
"Moffett & Eastham","   -","Business","East Central","P. 12","1885 Lakes Atlas Revised 2013","112014437405"
"Moffett & Eastham","   -","Business","East Central","P. 12","1885 Lakes Atlas Revised 2013","487145742077"
